campaign_id,customer_id,campaign_name,status,serving_status,channel_type,channel_subtype,bidding_strategy_type,budget_id,budget_amount_micros,start_date,end_date,optimization_score,target_cpa_micros,target_roas,network_target_search,network_target_content,network_target_partner,geo_target_type_positive,geo_target_type_negative,created_at
8199907592,5032737756,New Year Diaries 2021,PAUSED,SUSPENDED,SMART,SMART_CAMPAIGN,TARGET_SPEND,customers/5032737756/campaignBudgets/6628595977,50000000,2019-11-22,2037-12-30,0.0,,,1,1,0,SEARCH_INTEREST,PRESENCE_OR_INTEREST,2025-10-06 06:03:03
11728422842,5032737756,2021 Diaries,PAUSED,SUSPENDED,SEARCH,,MAXIMIZE_CONVERSIONS,customers/5032737756/campaignBudgets/7663495085,80000000,2020-11-27,2037-12-30,0.0,,,1,1,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:03
11766786891,5032737756,Eagle Diaries - Emcee Sons,PAUSED,SUSPENDED,SMART,SMART_CAMPAIGN,TARGET_SPEND,customers/5032737756/campaignBudgets/7697881383,70000000,2020-12-03,2037-12-30,0.0,,,1,1,0,PRESENCE,PRESENCE_OR_INTEREST,2025-10-06 06:03:03
11769736259,5032737756,Website traffic-Smart-1 2021,PAUSED,SUSPENDED,DISPLAY,,MAXIMIZE_CONVERSIONS,customers/5032737756/campaignBudgets/7694861470,100000000,2020-12-03,2037-12-30,0.0,,,0,1,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:03
19055094938,5032737756,Website traffic-Search-2023.1,PAUSED,SUSPENDED,SEARCH,,MAXIMIZE_CONVERSIONS,customers/5032737756/campaignBudgets/12021533994,1000000000,2022-11-27,2037-12-30,0.0,,,1,1,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:03
19062449190,5032737756,Sales-Performance Max-1 2023.2,PAUSED,SUSPENDED,PERFORMANCE_MAX,,MAXIMIZE_CONVERSIONS,customers/5032737756/campaignBudgets/12022872476,500000000,2022-11-28,2037-12-30,0.0,,,1,1,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:03
21115683529,7613138874,Tax Benifit @24,PAUSED,SERVING,SEARCH,,MAXIMIZE_CONVERSIONS,customers/7613138874/campaignBudgets/13433296067,100000000,2024-03-19,2037-12-30,0.0,,,1,0,0,PRESENCE,PRESENCE,2025-10-06 06:03:07
21259895430,7613138874,vanayatra 24,ENABLED,SERVING,SEARCH,,MAXIMIZE_CONVERSIONS,customers/7613138874/campaignBudgets/13555501106,100000000,2024-05-07,2037-12-30,0.0,,,1,0,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:07
21298237678,7613138874,Bengaluru Orphanage,ENABLED,SERVING,SMART,SMART_CAMPAIGN,TARGET_SPEND,customers/7613138874/campaignBudgets/13579088579,300000000,2024-05-15,2037-12-30,0.0,,,1,0,0,PRESENCE,PRESENCE,2025-10-06 06:03:07
21891656567,5032737756,Carousel ads,PAUSED,SUSPENDED,DISPLAY,,MAXIMIZE_CONVERSIONS,customers/5032737756/campaignBudgets/14060051991,500000000,2024-11-09,2037-12-30,0.0,,,0,1,0,PRESENCE_OR_INTEREST,PRESENCE,2025-10-06 06:03:03
