id,campaign_id,keyword_id,customer_id,date,clicks,impressions,cost_micros,conversions,conversion_value,ctr,conversion_rate,avg_cpc_micros,avg_position,absolute_top_impression_percentage,top_impression_percentage,search_impression_share,search_rank_lost_impression_share,created_at
1,22837421944,6265362093_183978226496_303435809013,6265362093,2025-09-15,31,205,2171194030,5.0,0.0,0.15121951219512195,0.16129032258064516,70038517.09677419,,0.4276315789473684,0.6842105263157895,0.45132743362831856,0.1976401179941003,2025-09-15 16:54:26
2,22837421944,6265362093_183978226496_921494612,6265362093,2025-09-15,3,86,225530000,0.0,0.0,0.03488372093023256,0.0,75176666.66666667,,0.08860759493670886,0.43037974683544306,0.2903225806451613,0.26881720430107525,2025-09-15 16:54:26
3,22837421944,6265362093_183978226496_328750895705,6265362093,2025-09-15,10,84,726452568,0.0,0.0,0.11904761904761904,0.0,72645256.8,,0.3472222222222222,0.75,0.36180904522613067,0.18592964824120603,2025-09-15 16:54:26
4,22837421944,6265362093_183978226496_334216643898,6265362093,2025-09-15,6,74,385307242,0.0,0.0,0.08108108108108109,0.0,64217873.666666664,,0.3770491803278688,0.6229508196721312,0.41216216216216217,0.13513513513513514,2025-09-15 16:54:26
5,22837421944,6265362093_183978226496_901647027798,6265362093,2025-09-15,3,54,201260000,1.0,0.0,0.05555555555555555,0.3333333333333333,67086666.666666664,,0.45454545454545453,0.5454545454545454,0.7457627118644068,0.23728813559322035,2025-09-15 16:54:26
6,22837421944,6265362093_183978226496_459058364869,6265362093,2025-09-15,5,22,340040422,0.0,0.0,0.22727272727272727,0.0,68008084.4,,0.38095238095238093,0.7619047619047619,0.5121951219512195,0.24390243902439024,2025-09-15 16:54:26
7,22837421944,6265362093_183978226496_367799791091,6265362093,2025-09-15,4,14,324990991,0.0,0.0,0.2857142857142857,0.0,81247747.75,,0.46153846153846156,0.8461538461538461,0.35135135135135137,0.32432432432432434,2025-09-15 16:54:26
8,22837421944,6265362093_183978226496_446000102824,6265362093,2025-09-15,2,11,143460000,0.0,0.0,0.18181818181818182,0.0,71730000.0,,0.42857142857142855,1.0,0.5384615384615384,0.3076923076923077,2025-09-15 16:54:26
9,22837421944,6265362093_183978226496_1023377950051,6265362093,2025-09-15,3,11,210983061,0.0,0.0,0.2727272727272727,0.0,70327687.0,,0.2222222222222222,0.8888888888888888,0.2571428571428571,0.37142857142857144,2025-09-15 16:54:26
10,22837421944,6265362093_183978226496_1015247205832,6265362093,2025-09-15,1,9,67100000,0.0,0.0,0.1111111111111111,0.0,67100000.0,,0.5,1.0,0.6666666666666666,0.16666666666666666,2025-09-15 16:54:26
