id,customer_id,campaign_id,campaign_name,channel_type,bidding_strategy,budget_amount,keyword_id,keyword_text,match_type,quality_score,avg_cpc,ctr,conversion_rate,conversions,cost,impressions,clicks,competition_index,search_volume_trend,created_at
1,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_921494612,wati,EXACT,3.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-5.642323930801896e+20,2025-10-06 06:03:09
2,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_303435809013,whatsapp api,EXACT,5.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-8.841998065595082e+20,2025-10-06 06:03:09
3,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_328750895705,whatsapp business api,EXACT,7.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-4.406756669577706e+20,2025-10-06 06:03:09
4,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_332324671903,whatsapp chatbot api,EXACT,,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-4.587795316817918e+19,2025-10-06 06:03:09
5,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_334216643898,whatsapp broadcast,EXACT,5.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,8.925820889051088e+20,2025-10-06 06:03:09
6,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_344700131951,whatsapp marketing api,EXACT,,0.0,0.0,0.0,0.0,0.0,0,0,50.0,7.535940015807345e+19,2025-10-06 06:03:09
7,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_367799791091,whatsapp api integration,EXACT,7.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-2.474327386088296e+20,2025-10-06 06:03:09
8,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_378087630219,whatsapp business integration,EXACT,4.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-1.9754467285487734e+20,2025-10-06 06:03:09
9,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_394455799093,whatsapp api to send messages,EXACT,7.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-5.2097556188727974e+20,2025-10-06 06:03:09
10,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_446000102824,whatsapp api bot,EXACT,,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-8.018611176575367e+20,2025-10-06 06:03:09
11,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_459058364869,whatsapp api chatbot,EXACT,,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-6.732244956336249e+20,2025-10-06 06:03:09
12,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_522894111103,gupshup whatsapp api,EXACT,7.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,3.100900107272467e+20,2025-10-06 06:03:09
13,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_535870079252,whatsapp business bot,EXACT,5.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-3.647391711961201e+20,2025-10-06 06:03:09
14,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_617755096312,send whatsapp message via api,EXACT,3.0,0.0,0.0,0.0,0.0,0.0,0,0,50.0,7.597128251195764e+20,2025-10-06 06:03:09
15,6265362093,22837421944,Whatsappapicommunn,SEARCH,TARGET_SPEND,1000.0,6265362093_183978226496_776064974776,whatsapp broadcast for business,EXACT,,0.0,0.0,0.0,0.0,0.0,0,0,50.0,-4.063379885488362e+20,2025-10-06 06:03:09
