ad_group_id,campaign_id,customer_id,ad_group_name,status,type,cpc_bid_micros,cpm_bid_micros,target_cpa_micros,target_roas,ad_rotation_mode,created_at
84265302189,8199907592,5032737756,Smart Campaign Managed AdGroup,ENABLED,SMART_CAMPAIGN_ADS,36900000.0,10000.0,,,,2025-09-15 16:54:29
113026145503,11769736259,5032737756,Ad group 1,ENABLED,DISPLAY_STANDARD,10000.0,10000.0,,,OPTIMIZE,2025-09-15 16:54:29
115198127435,11766786891,5032737756,Smart Campaign Managed AdGroup,ENABLED,SMART_CAMPAIGN_ADS,10000.0,10000.0,,,,2025-09-15 16:54:29
119197858212,11728422842,5032737756,New Year Diaries 2021,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
144435051072,19055094938,5032737756,Edsearchadsgroup1,PAUSED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
156434921013,19055094938,5032737756,Edsearchadsgroup1 #2,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
162487445880,21115683529,7613138874,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:33
163228958620,21298237678,7613138874,Smart Campaign Managed AdGroup,ENABLED,SMART_CAMPAIGN_ADS,,,,,,2025-09-15 16:54:33
165627427401,21259895430,7613138874,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:33
169496442439,21900563224,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
170157390159,21943954018,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,OPTIMIZE,2025-09-15 16:54:29
171948585058,21933549252,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,OPTIMIZE,2025-09-15 16:54:29
172244924084,21919130765,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,OPTIMIZE,2025-09-15 16:54:29
173873760607,21891656567,5032737756,Ad group 1,ENABLED,DISPLAY_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
173997361914,21933538500,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
176641496091,21943942228,5032737756,Ad group 1,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:29
180619072059,22627669133,5032737756,Smart Campaign Managed AdGroup,ENABLED,SMART_CAMPAIGN_ADS,,,,,,2025-09-15 16:54:29
183978226496,22837421944,6265362093,whatsapp.2,ENABLED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:24
184604275324,22837421944,6265362093,Ad group 1,PAUSED,SEARCH_STANDARD,10000.0,10000.0,,,,2025-09-15 16:54:24
